utterance,qud,ccPrior,state,prob
pos-know-pos-dance,ccQUD,higher,1,1
pos-know-pos-dance,ccQUD,lower,1,1
pos-know-pos-dance,mcQUD,higher,1,1
pos-know-pos-dance,mcQUD,lower,1,1
pos-know-pos-dance,maxQUD,higher,1,1
pos-know-pos-dance,maxQUD,lower,1,1
pos-think-pos-dance,ccQUD,higher,1,0.6666662447198219
pos-think-pos-dance,ccQUD,higher,0,0.33333375528017783
pos-think-pos-dance,ccQUD,lower,0,0.6666670886132441
pos-think-pos-dance,ccQUD,lower,1,0.3333329113867557
pos-think-pos-dance,mcQUD,higher,1,0.6569449019238429
pos-think-pos-dance,mcQUD,higher,0,0.34305509807615675
pos-think-pos-dance,mcQUD,lower,0,0.6762486999987711
pos-think-pos-dance,mcQUD,lower,1,0.3237513000012292
pos-think-pos-dance,maxQUD,higher,1,0.6569506181106526
pos-think-pos-dance,maxQUD,higher,0,0.34304938188934686
pos-think-pos-dance,maxQUD,lower,0,0.6762431469022334
pos-think-pos-dance,maxQUD,lower,1,0.3237568530977667
neg-know-pos-dance,ccQUD,higher,0,0.5899245106810611
neg-know-pos-dance,ccQUD,higher,1,0.4100754893189384
neg-know-pos-dance,ccQUD,lower,0,0.8519462026137437
neg-know-pos-dance,ccQUD,lower,1,0.1480537973862569
neg-know-pos-dance,mcQUD,higher,1,0.9735395781922564
neg-know-pos-dance,mcQUD,higher,0,0.026460421807744022
neg-know-pos-dance,mcQUD,lower,1,0.9019422602360299
neg-know-pos-dance,mcQUD,lower,0,0.09805773976396986
neg-know-pos-dance,maxQUD,higher,1,0.9979752774634173
neg-know-pos-dance,maxQUD,higher,0,0.0020247225365825606
neg-know-pos-dance,maxQUD,lower,1,0.9919500068612523
neg-know-pos-dance,maxQUD,lower,0,0.008049993138748152
neg-think-pos-dance,ccQUD,higher,1,0.6666670719226002
neg-think-pos-dance,ccQUD,higher,0,0.33333292807739984
neg-think-pos-dance,ccQUD,lower,0,0.6666662614104866
neg-think-pos-dance,ccQUD,lower,1,0.333333738589513
neg-think-pos-dance,mcQUD,higher,1,0.6642218432885759
neg-think-pos-dance,mcQUD,higher,0,0.33577815671142386
neg-think-pos-dance,mcQUD,lower,0,0.6691025570620792
neg-think-pos-dance,mcQUD,lower,1,0.3308974429379206
neg-think-pos-dance,maxQUD,higher,1,0.6572564870193486
neg-think-pos-dance,maxQUD,higher,0,0.3427435129806514
neg-think-pos-dance,maxQUD,lower,0,0.6759458678882659
neg-think-pos-dance,maxQUD,lower,1,0.32405413211173384
pos-bare-pos-dance,ccQUD,higher,1,1
pos-bare-pos-dance,ccQUD,lower,1,1
pos-bare-pos-dance,mcQUD,higher,1,1
pos-bare-pos-dance,mcQUD,lower,1,1
pos-bare-pos-dance,maxQUD,higher,1,1
pos-bare-pos-dance,maxQUD,lower,1,1
neg-bare-pos-dance,ccQUD,higher,0,1
neg-bare-pos-dance,ccQUD,lower,0,1
neg-bare-pos-dance,mcQUD,higher,0,1
neg-bare-pos-dance,mcQUD,lower,0,1
neg-bare-pos-dance,maxQUD,higher,0,1
neg-bare-pos-dance,maxQUD,lower,0,1
